,Site1,Site2,Site3,Site4,Site5,Site6,Site7
0,1022.4879341593762,1535.7311667272295,1443.8968309863662,2935.302128739436,2048.9332274314165,3458.729662379152,3613.493610163571
1,767.6731409527406,0.0,71.4391712814845,2784.039938260939,2975.7466019539297,2594.827938323402,1629.1232268860358
2,0.0,0.0,1200.681143729138,1645.7508730017016,62.15162462878607,3366.113654828074,2317.7502501523736
3,0.0,808.4890984695694,2284.6294009418616,2929.447594531902,3114.3056516113907,2263.1269380776284,3024.355467970508
4,1614.3499852258096,2170.9863948100306,2483.274340198345,3650.0,3713.7644300183147,3781.5,2614.62438728336
5,0.0,256.6928926979099,0.0,2004.8921289954405,845.153408623728,3530.392794071839,3459.660646371856
6,0.0,1106.25384229524,2099.16223222813,3253.4940317286164,1170.0642329961483,3491.312411280542,3508.825746105469
7,0.0,10.928599109010065,1564.5040942251208,2990.644319104634,1523.6776319983328,3405.5053830140087,3632.528122689648
8,1077.4780100279304,1559.5256048872952,2164.4000805203323,3211.4145106025435,3066.407501201754,3521.1352084765686,3567.300024485964
9,2505.881637610009,2541.1658064967496,2563.0774830806513,2943.3802074263203,2266.9337664254167,1226.9034903091024,1369.8113814693338
10,2715.9213171622773,2545.19841137587,2750.383274571586,3105.486864828572,1753.2966277804894,3107.9784821455382,2453.882733554568
11,2734.3773354547193,3166.1441342981047,2915.5496721073296,2558.6646962629666,2740.1346620795157,3311.8804856847437,2860.3322284217056
12,3097.0299230720484,3123.9363242991208,3511.0,3481.580492632171,3288.9998729913505,3008.7460979890366,2182.58556007466
13,2762.091391632425,2384.1850092089253,2731.7230481204856,2737.0747551500463,2987.3564725837605,3634.1354206383558,3149.096189562142
14,2262.214116859579,1889.2521346500098,2751.3901420805278,3443.582489935194,1825.8662234287976,3735.0709724253743,3517.970209207445
15,0.0,748.0059988000344,1447.9715177834678,3571.135276078826,2030.9121875426608,3547.827959696838,3653.153860081817
16,2791.6925821871037,2324.985270770992,1994.1489764303744,2214.5379691851,1819.5222068636785,2152.671968874565,2539.3433533626785
17,2811.0489036413846,2980.2184031664387,3192.0300530974764,3980.5,3999.0,4049.442781177517,3683.463939337619
18,2093.039819415704,1313.1385718536117,2452.1524521608903,3461.8200804726903,3552.6405597352605,3750.101602890834,3742.7946906044635
19,1058.6893572535728,2259.1967807181036,2838.6596471374783,3573.112138896912,3190.2551268614548,3869.4530578446534,3629.47366018744
20,3234.907861901145,2744.05538623739,2448.3058539266367,3612.156893346053,3847.283759276533,3876.965030857518,4084.134497756106
21,1722.3211642991591,2350.5805505520257,3259.8964816576827,4104.0,3997.1695746984637,4221.5,4272.0
22,2173.8077463886566,1889.7346608696907,3325.8459905513564,4130.5,4177.0,3502.844995306712,2851.603507120717
23,2740.479357217893,1270.9332208838591,0.0,3009.515978317294,1293.512208358538,3819.4353168273674,3535.6072916795893
24,2751.4799159454333,2521.90644035543,1424.2992538559556,3448.3332839288028,2600.1921829782314,3556.2644780879377,2974.109353198931
25,775.7038859804861,1190.8168208066304,107.61616591097572,1712.5474258621339,0.0,1432.463471356849,2457.4385637011414
26,2383.249123386412,2293.795587423217,1756.5229224529958,3353.6378191837393,3084.412494830191,3302.2090547458884,3185.62551624397
27,1865.137312408968,3113.904951802757,3999.5,3658.2876157449327,4394.5,4468.0,4460.0
28,2460.3241596836533,2922.7438843196005,3663.5417827715696,4009.4716589519376,4325.5,4066.7346412779216,4017.5455251385315
29,2886.5792091015232,3361.067976133435,3453.0462103462387,4248.651708205886,3886.1953206016806,4402.609912662719,3362.525106862615
30,3784.0,2601.7215896832304,2581.942623358739,2638.1140252684268,1189.1983895521653,4078.4280381361377,3530.0538550075444
31,3690.3694906020282,3697.0090182601116,3840.452316745739,4380.081797282784,3692.5250131544076,4363.078604209518,4122.561686402423
32,3603.8091318424313,3746.3060480340255,4135.5,4598.5,4415.872175076242,4724.0,4716.5
33,3720.993325633261,3591.3597589623787,4037.31091120061,4480.796248831227,4561.5,4686.0,4710.5
34,4020.5,3992.5,4291.0,4584.361847282866,4230.792014066386,4710.0,4621.313542671246
35,2910.0701768806257,3139.771886039658,4019.4534209205394,4395.727681522221,4574.8044249759205,4184.840441213458,4796.0
36,3946.5,3944.0,4177.173476977098,4740.5,4403.793581929191,4804.9051814516915,4479.81669324704
37,3202.5312238682036,4018.583838229366,4317.5,4729.5,3639.554251619228,4763.998794500073,4673.778733501042
38,2505.397674927176,3103.2802478369786,3458.998764259173,4356.59876135609,4430.561148158033,4102.039297067165,4157.8297628437285
39,3269.0293522256643,3340.5039236807443,3167.8578881752683,3814.9921213404978,3593.0768877837504,4275.031645932012,4286.842926157578
40,3003.6317009587183,2318.2884472217074,3099.884824866544,4080.7457556970935,3879.3231451260513,4362.026345847413,4597.344008802967
41,4142.778829252163,3953.21423518249,4177.82442212909,4842.438417219995,4629.672996469778,4595.7674101596795,4396.8621165649965
42,4321.554312594124,3911.0395354590487,3047.169948515333,3662.860739402741,4853.9350348687185,4218.715013882138,4810.69525331038
43,3281.860868690429,3660.9092878442743,3776.4934235475475,4065.272074668214,4577.772158213903,4580.8657950638535,4499.703749912504
44,2966.5397540401923,3516.590834021322,2815.8307573402217,3702.9118050469083,4060.186711025126,3591.019273315201,3690.6574874954454
45,4427.0,4350.539743931554,3338.961537616311,4541.239565065887,2666.689727610371,4110.122517176742,4221.188252377331
46,2257.577291706832,2972.7534276181887,2709.6441289106688,2863.7316194124696,1646.4869369395428,3191.428241996168,4100.228800690311
47,3149.151615143034,3859.9780222639233,3440.3205904565225,4944.736700587592,4885.857944742391,5138.396869436439,5001.193547471462
48,4628.5,4491.0,4801.5,5167.0,5120.5,5297.5,5176.351177654041
49,4581.96292157986,4626.0,4809.2204198869495,4857.870862362023,4470.680329487484,5190.151837377667,4885.694720358844
50,4822.0,4762.5,4513.06366204248,4840.00582839883,3255.8228479368045,5098.062286969156,5329.0
51,4058.6580259820053,3980.625003885044,3730.9105353903587,3145.835024588606,3166.9760494980724,4279.130360892363,683.1219946082392
52,4204.873478027827,4463.43656295519,4725.95064857478,4640.110776559933,4226.022487129292,4891.294427092829,4038.6595377883013
53,4946.5,4752.563386203198,4839.497835731507,5287.797696639149,3182.356089514584,5622.203596469913,5622.0
54,4749.946154510885,4758.72656559771,4412.490480838487,5587.5,5573.0,5678.5,5617.0
55,5021.792939180579,4888.182403520754,5208.5,5558.142690657865,5512.5,5678.5,5530.111677942039
56,5139.5,4994.866444205656,4883.034872386537,5611.949637505026,3463.139614671042,5669.731975215405,5646.012064641537
57,2894.556547484293,3842.066542261814,3321.6439426626284,4293.141527005471,4150.982252780955,3489.335347778512,5340.328141176248
58,4741.820932413525,5155.639829143499,5032.019629082677,5353.2094619218315,5471.3324249216585,5433.024541540722,5024.001319105354
59,5053.396194840402,4351.043381744181,4167.10935800703,5845.0,5486.699847465438,5924.444113525135,5573.300071778873
60,3254.4460329859257,3829.5241417855423,4553.8063301405555,5601.327914739179,5850.5,5757.367898573819,5828.658147278633
61,4434.333750710217,3720.719912634996,4644.571565616492,5440.276123003671,5133.42353989925,5432.2501416674795,5271.998909510722
62,5072.552541984731,4723.167812242421,4574.364169250542,4858.057974115712,4812.463294221611,5541.39355071348,5419.9024960564975
63,3001.397001894161,3683.9399097502032,3854.7487810107573,5660.670400203874,4615.941737254384,5027.710452907151,4996.371439941026
64,2910.0667790098673,3950.7213240813335,2323.47387005817,4864.425973926785,3626.6759795098997,4823.771021895132,5195.273567276084
65,4370.838795352563,4997.76632892492,4642.217996284036,5702.091023651261,5054.148386946046,6054.473864506197,5568.0387366419955
66,5176.681116492616,4000.493404425427,4990.064191304771,5780.414500396188,3897.5347310193297,5443.259795472397,5018.978879925799
67,2194.9137203812625,2318.4719300522556,2619.4626615153475,5303.950712121121,4655.005002093819,5791.37195052067,5713.649668189226
68,4974.215720364184,5137.204153072786,3955.372308075932,5302.559496749387,3690.8762691116835,5601.171840273861,5853.511764026174
69,5226.924131682,5757.780481963938,5274.840443257208,5371.371998067645,0.0,5456.725435191127,5566.4664893319405
70,5971.5,5836.0,5761.632358842342,6053.750511610934,3111.5484476160254,6015.117465350276,5884.8594860838375
71,6003.548950924725,5841.0,6098.0,5757.302457143831,6135.714153226176,6102.929837740582,6269.629107357536
72,4715.4030684435165,4937.319745092411,3575.0811647644205,3832.082216242051,4143.593580601479,2235.1131758221027,2360.467291789675
73,6029.845012528671,5681.212198108725,5910.65791070119,5524.849523207655,6154.678931092964,5856.968420423327,6021.670322815968
74,4342.742043504216,5701.593434979795,5333.969239067121,6045.31335466665,5448.926807762792,4729.09361222473,3722.590388036919
75,6088.635082101237,5833.00964491658,6066.2757267278275,6253.997032527962,5694.034179669703,6165.108544868477,6532.1833096963155
76,5885.280766140535,5976.467340796978,6362.951721849633,6349.801691804081,6614.0,6646.295506498317,6411.633966595258
77,5707.478479670152,6045.865515857319,5624.003296603024,5509.104413207456,5349.15190470532,6034.652638974603,4969.801870790532
78,5632.1068327551875,6264.0,5479.352983908837,5923.067328178357,5822.896024141491,4938.240680176241,4206.186950593465
